Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1902,-.17,-.06,-.27,-.28,-.32,-.30,-.28,-.30,-.29,-.29,-.35,-.42,-.28,-.26,-.17,-.29,-.29,-.31
1903,-.23,-.05,-.22,-.41,-.39,-.42,-.35,-.45,-.50,-.48,-.43,-.51,-.37,-.36,-.23,-.34,-.41,-.47
1904,-.63,-.57,-.48,-.50,-.51,-.48,-.50,-.48,-.55,-.38,-.17,-.33,-.47,-.48,-.57,-.50,-.49,-.37
1905,-.34,-.59,-.21,-.33,-.29,-.28,-.26,-.20,-.19,-.24,-.06,-.13,-.26,-.28,-.42,-.28,-.25,-.17
1906,-.28,-.29,-.18,-.05,-.25,-.19,-.23,-.20,-.28,-.20,-.37,-.14,-.22,-.22,-.23,-.16,-.20,-.28
1907,-.43,-.51,-.27,-.37,-.46,-.42,-.35,-.34,-.34,-.22,-.46,-.46,-.38,-.36,-.36,-.36,-.37,-.34
1908,-.44,-.32,-.55,-.44,-.37,-.38,-.35,-.46,-.35,-.44,-.51,-.49,-.43,-.42,-.41,-.45,-.40,-.43
1909,-.72,-.46,-.54,-.59,-.54,-.52,-.45,-.33,-.39,-.39,-.31,-.56,-.48,-.48,-.56,-.56,-.43,-.36
1910,-.42,-.41,-.50,-.42,-.33,-.38,-.34,-.36,-.39,-.41,-.55,-.67,-.43,-.42,-.46,-.42,-.36,-.45
1911,-.62,-.57,-.61,-.53,-.51,-.50,-.41,-.44,-.41,-.26,-.21,-.21,-.44,-.48,-.62,-.55,-.45,-.29
1912,-.25,-.14,-.38,-.17,-.21,-.24,-.42,-.54,-.58,-.57,-.39,-.43,-.36,-.34,-.20,-.25,-.40,-.51
1913,-.40,-.45,-.42,-.39,-.44,-.45,-.36,-.34,-.35,-.32,-.20,-.02,-.34,-.38,-.42,-.42,-.38,-.29
1914,.05,-.10,-.24,-.30,-.21,-.26,-.23,-.16,-.17,-.03,-.15,-.04,-.15,-.15,-.02,-.25,-.22,-.12
1915,-.20,-.04,-.10,.06,-.06,-.22,-.13,-.22,-.21,-.24,-.13,-.22,-.14,-.13,-.09,-.03,-.19,-.19
1916,-.12,-.14,-.28,-.31,-.35,-.49,-.37,-.29,-.37,-.34,-.46,-.82,-.36,-.31,-.16,-.31,-.38,-.39
1917,-.58,-.63,-.64,-.55,-.55,-.44,-.25,-.23,-.23,-.44,-.34,-.68,-.46,-.47,-.68,-.58,-.31,-.34
1918,-.48,-.34,-.25,-.44,-.43,-.36,-.31,-.32,-.17,-.06,-.12,-.30,-.30,-.33,-.50,-.37,-.33,-.12
1919,-.21,-.24,-.21,-.13,-.28,-.36,-.29,-.33,-.25,-.20,-.41,-.42,-.28,-.27,-.25,-.21,-.33,-.29
1920,-.24,-.26,-.12,-.24,-.27,-.36,-.30,-.26,-.22,-.26,-.27,-.46,-.27,-.27,-.31,-.21,-.31,-.25
1921,-.04,-.17,-.23,-.30,-.30,-.27,-.15,-.26,-.19,-.03,-.14,-.18,-.19,-.21,-.23,-.28,-.23,-.12
1922,-.33,-.44,-.15,-.23,-.34,-.31,-.28,-.33,-.36,-.33,-.15,-.19,-.29,-.28,-.32,-.24,-.30,-.28
1923,-.28,-.39,-.34,-.41,-.33,-.29,-.31,-.33,-.31,-.14,-.03,-.05,-.27,-.28,-.28,-.36,-.31,-.16
1924,-.23,-.24,-.08,-.32,-.18,-.26,-.29,-.36,-.32,-.35,-.21,-.43,-.27,-.24,-.17,-.19,-.30,-.30
1925,-.38,-.40,-.28,-.26,-.29,-.33,-.27,-.20,-.20,-.17,.04,.06,-.22,-.26,-.41,-.28,-.26,-.11
1926,.20,.02,.11,-.13,-.24,-.26,-.28,-.13,-.14,-.11,-.07,-.30,-.11,-.08,.09,-.08,-.22,-.11
1927,-.27,-.18,-.39,-.31,-.25,-.28,-.19,-.24,-.13,-.01,-.06,-.33,-.22,-.22,-.25,-.31,-.24,-.07
1928,-.02,-.09,-.25,-.28,-.30,-.39,-.19,-.22,-.21,-.19,-.09,-.17,-.20,-.21,-.15,-.28,-.27,-.17
1929,-.45,-.59,-.32,-.42,-.38,-.44,-.37,-.33,-.26,-.14,-.11,-.54,-.36,-.33,-.40,-.37,-.38,-.17
1930,-.29,-.27,-.11,-.25,-.24,-.22,-.21,-.15,-.16,-.12,.17,-.05,-.16,-.20,-.37,-.20,-.19,-.03
1931,-.10,-.21,-.10,-.23,-.19,-.08,-.03,-.04,-.07,.05,-.06,-.05,-.09,-.09,-.12,-.17,-.05,-.03
1932,.16,-.17,-.18,-.06,-.17,-.29,-.24,-.22,-.11,-.09,-.27,-.26,-.16,-.14,-.02,-.13,-.25,-.15
1933,-.23,-.29,-.29,-.24,-.29,-.34,-.21,-.24,-.29,-.25,-.31,-.45,-.29,-.27,-.26,-.27,-.26,-.28
1934,-.21,-.02,-.29,-.31,-.09,-.15,-.11,-.12,-.15,-.06,.03,-.02,-.13,-.16,-.23,-.23,-.13,-.06
1935,-.33,.14,-.14,-.37,-.29,-.27,-.22,-.22,-.22,-.06,-.26,-.17,-.20,-.19,-.07,-.27,-.23,-.18
1936,-.27,-.38,-.21,-.20,-.16,-.22,-.09,-.13,-.09,-.03,.02,-.01,-.15,-.16,-.27,-.19,-.15,-.03
1937,-.07,.03,-.20,-.16,-.05,-.05,-.03,.01,.09,.09,.09,-.07,-.03,-.02,-.01,-.14,-.02,.09
1938,.08,.03,.10,.06,-.09,-.17,-.09,-.05,.01,.15,.08,-.12,.00,.00,.02,.02,-.10,.08
1939,-.05,-.06,-.17,-.09,-.04,-.07,-.06,-.06,-.07,-.03,.07,.43,-.02,-.06,-.08,-.10,-.06,-.01
1940,.00,.08,.09,.17,.11,.12,.13,.07,.15,.11,.17,.32,.13,.14,.17,.13,.10,.14
1941,.18,.31,.10,.16,.17,.13,.22,.15,.02,.35,.22,.22,.19,.19,.27,.14,.16,.20
1942,.30,.03,.05,.10,.11,.05,.01,-.04,-.03,.02,.10,.13,.07,.07,.18,.09,.01,.03
1943,-.01,.17,-.03,.11,.07,-.05,.08,.01,.05,.23,.20,.23,.09,.08,.10,.05,.01,.16
1944,.36,.24,.26,.19,.19,.15,.18,.18,.28,.26,.11,.03,.20,.22,.28,.21,.17,.22
1945,.10,.00,.06,.19,.06,.00,.03,.26,.20,.18,.07,-.07,.09,.10,.05,.10,.10,.15
1946,.15,.03,.01,.05,-.07,-.21,-.12,-.20,-.08,-.07,-.05,-.31,-.07,-.05,.04,.00,-.18,-.07
1947,-.06,-.08,.06,.06,-.02,-.02,-.04,-.07,-.12,.07,.03,-.13,-.03,-.04,-.15,.04,-.04,-.01
1948,.07,-.14,-.24,-.12,.00,-.05,-.11,-.12,-.14,-.05,-.12,-.24,-.11,-.10,-.07,-.12,-.09,-.11
1949,.07,-.14,-.02,-.11,-.10,-.27,-.13,-.13,-.14,-.06,-.10,-.18,-.11,-.11,-.10,-.08,-.18,-.10
1950,-.26,-.27,-.08,-.21,-.11,-.05,-.08,-.16,-.11,-.20,-.34,-.21,-.17,-.17,-.23,-.13,-.10,-.22
1951,-.34,-.41,-.20,-.14,.00,-.07,-.01,.06,.05,.08,-.01,.16,-.07,-.10,-.32,-.11,-.01,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.03,.13,-.02,.02,-.02
1953,.07,.15,.11,.19,.11,.12,.01,.05,.04,.08,-.03,.05,.08,.07,.07,.14,.06,.03
1954,-.24,-.10,-.15,-.14,-.20,-.18,-.19,-.17,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.14,-.11,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.08,-.14
1956,-.13,-.24,-.21,-.27,-.29,-.16,-.09,-.26,-.19,-.23,-.15,-.06,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.05,.00,.09,.16,.02,.15,.09,.01,.08,.15,.05,.03,-.06,.01,.11,.06
1958,.39,.22,.09,.01,.06,-.09,.05,-.05,-.02,.04,.02,.01,.06,.07,.25,.05,-.03,.01
1959,.08,.07,.18,.16,.04,.03,.03,-.01,-.06,-.07,-.08,.00,.03,.03,.05,.13,.02,-.07
1960,.00,.13,-.35,-.15,-.08,-.04,-.04,.02,.07,.06,-.11,.19,-.03,-.04,.04,-.19,-.02,.00
1961,.07,.19,.09,.13,.12,.12,.01,.01,.09,.00,.03,-.16,.06,.09,.15,.12,.04,.04
1962,.05,.15,.11,.05,-.06,.03,.02,-.01,.00,.01,.06,-.03,.03,.02,.01,.03,.01,.03
1963,-.03,.18,-.14,-.07,-.06,.05,.06,.22,.18,.15,.15,-.03,.05,.05,.04,-.09,.11,.16
1964,-.09,-.10,-.21,-.32,-.25,-.04,-.04,-.22,-.29,-.31,-.21,-.30,-.20,-.18,-.08,-.26,-.10,-.27
1965,-.08,-.17,-.13,-.19,-.12,-.08,-.13,-.04,-.15,-.05,-.06,-.08,-.11,-.12,-.18,-.15,-.08,-.09
1966,-.19,-.04,.03,-.13,-.12,.01,.08,-.09,-.03,-.17,-.01,-.02,-.06,-.06,-.10,-.07,.00,-.07
1967,-.07,-.20,.05,-.05,.12,-.08,.02,.01,-.06,.09,-.05,-.05,-.02,-.02,-.10,.04,-.02,-.01
1968,-.25,-.14,.20,-.06,-.14,-.09,-.13,-.09,-.19,.09,-.05,-.14,-.08,-.07,-.15,.00,-.10,-.05
1969,-.11,-.18,.01,.17,.18,.03,-.04,.03,.08,.09,.12,.24,.05,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.04,-.03,.01,-.10,.12,.03,.02,-.12,.03,.06,.18,.03,-.04,.05
1971,-.03,-.16,-.18,-.07,-.05,-.17,-.08,-.01,-.06,-.04,-.07,-.08,-.08,-.09,-.10,-.10,-.08,-.06
1972,-.22,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.18,.01,-.01,-.16,.00,.07,.04
1973,.29,.32,.29,.27,.23,.19,.13,.05,.09,.10,.05,-.07,.16,.18,.26,.26,.12,.08
1974,-.10,-.27,-.05,-.12,-.04,-.05,-.03,.11,-.08,-.06,-.08,-.08,-.07,-.07,-.14,-.07,.01,-.07
1975,.10,.08,.13,.04,.16,-.01,-.01,-.17,-.02,-.11,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
1976,-.03,-.06,-.22,-.07,-.21,-.12,-.10,-.12,-.07,-.24,-.06,.11,-.10,-.12,-.09,-.16,-.11,-.12
1977,.18,.23,.24,.26,.33,.27,.20,.18,.02,.03,.16,.03,.18,.18,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.13,.06,.03,.14,.08,.07,.06,.06,.15,-.04,.07
1979,.08,-.10,.19,.15,.04,.14,.04,.17,.25,.26,.28,.48,.16,.13,.02,.12,.11,.26
1980,.30,.39,.29,.30,.35,.20,.22,.18,.20,.13,.30,.22,.26,.28,.39,.31,.20,.21
1981,.53,.42,.48,.32,.25,.29,.32,.35,.15,.12,.23,.41,.32,.31,.39,.35,.32,.16
1982,.05,.16,.03,.15,.18,.05,.14,.04,.14,.13,.17,.42,.14,.14,.20,.12,.08,.15
1983,.53,.43,.42,.28,.33,.22,.18,.35,.37,.17,.30,.16,.31,.33,.46,.34,.25,.28
1984,.31,.14,.26,.06,.33,.02,.19,.19,.21,.14,.07,-.04,.16,.17,.20,.21,.13,.14
1985,.22,-.04,.17,.12,.14,.15,.04,.17,.13,.11,.05,.14,.12,.10,.05,.14,.12,.10
1986,.26,.37,.30,.22,.21,.12,.11,.16,.03,.15,.10,.13,.18,.18,.25,.24,.13,.10
1987,.32,.43,.18,.24,.25,.35,.40,.25,.35,.32,.29,.46,.32,.29,.29,.23,.33,.32
1988,.56,.44,.51,.42,.44,.40,.33,.39,.37,.38,.12,.29,.39,.40,.49,.46,.37,.29
1989,.12,.30,.36,.29,.17,.16,.34,.33,.34,.29,.19,.37,.27,.27,.24,.27,.28,.27
1990,.41,.44,.80,.56,.45,.37,.45,.34,.23,.44,.46,.40,.45,.44,.41,.60,.39,.38
1991,.42,.49,.35,.51,.34,.53,.47,.39,.44,.29,.29,.32,.40,.41,.44,.40,.46,.34
1992,.47,.40,.48,.27,.31,.25,.08,.08,-.01,.06,.02,.22,.22,.23,.40,.35,.14,.03
1993,.34,.37,.36,.27,.28,.22,.25,.11,.11,.23,.03,.18,.23,.23,.31,.30,.19,.12
1994,.26,.02,.29,.41,.28,.44,.30,.21,.32,.42,.44,.38,.31,.30,.15,.33,.32,.39
1995,.52,.79,.46,.47,.27,.43,.45,.45,.34,.47,.44,.25,.45,.46,.56,.40,.44,.42
1996,.24,.46,.32,.33,.27,.25,.36,.48,.25,.19,.38,.37,.33,.32,.32,.31,.37,.27
1997,.29,.41,.51,.33,.34,.54,.33,.41,.51,.61,.64,.59,.46,.44,.36,.40,.43,.59
1998,.58,.87,.63,.63,.68,.77,.65,.65,.42,.41,.43,.54,.61,.61,.68,.65,.69,.42
1999,.48,.64,.32,.32,.26,.36,.38,.31,.38,.34,.37,.41,.38,.39,.55,.30,.35,.36
2000,.25,.56,.55,.57,.36,.40,.39,.42,.39,.26,.30,.28,.39,.40,.40,.49,.40,.32
2001,.45,.44,.55,.50,.57,.52,.59,.49,.52,.50,.72,.56,.53,.51,.39,.54,.53,.58
2002,.77,.79,.88,.58,.64,.53,.61,.53,.63,.54,.59,.44,.63,.64,.70,.70,.55,.58
2003,.75,.58,.59,.55,.61,.48,.58,.64,.62,.72,.53,.75,.62,.59,.59,.58,.57,.62
2004,.58,.72,.63,.61,.37,.44,.26,.45,.50,.60,.72,.50,.53,.55,.68,.53,.38,.61
2005,.74,.60,.74,.67,.63,.64,.61,.60,.71,.75,.73,.68,.67,.66,.61,.68,.62,.73
2006,.56,.73,.63,.47,.47,.65,.53,.71,.65,.69,.73,.79,.63,.62,.65,.52,.63,.69
2007,1.02,.70,.72,.76,.69,.61,.60,.60,.60,.58,.58,.49,.66,.69,.83,.72,.60,.59
2008,.30,.38,.74,.53,.49,.48,.59,.46,.61,.67,.68,.54,.54,.54,.39,.59,.51,.65
2009,.64,.52,.53,.61,.65,.64,.73,.68,.71,.65,.79,.67,.65,.64,.57,.60,.68,.72
2010,.75,.83,.92,.84,.75,.68,.62,.67,.63,.70,.81,.44,.72,.74,.75,.84,.66,.71
2011,.52,.47,.65,.65,.53,.62,.70,.74,.56,.65,.58,.60,.61,.59,.48,.61,.69,.60
2012,.49,.49,.58,.72,.78,.64,.58,.65,.72,.79,.78,.53,.65,.65,.53,.69,.62,.76
2013,.70,.62,.67,.54,.60,.69,.60,.69,.76,.69,.83,.69,.67,.66,.62,.60,.66,.76
2014,.76,.55,.78,.79,.86,.67,.58,.82,.87,.80,.66,.78,.74,.74,.66,.81,.69,.78
2015,.85,.90,.95,.76,.80,.81,.72,.80,.85,1.09,1.06,1.16,.90,.86,.84,.84,.78,1.00
2016,1.17,1.37,1.36,1.10,.95,.80,.84,1.01,.90,.88,.91,.86,1.01,1.04,1.23,1.14,.88,.90
2017,1.02,1.13,1.16,.94,.91,.72,.81,.87,.76,.90,.88,.93,.92,.91,1.00,1.00,.80,.85
2018,.81,.84,.88,.89,.82,.77,.82,.76,.80,1.01,.82,.92,.85,.85,.86,.86,.79,.88
2019,.93,.94,1.17,1.01,.85,.91,.94,.94,.92,1.01,.99,1.09,.97,.96,.93,1.01,.93,.97
2020,1.16,1.24,1.17,1.13,1.02,.92,.90,.88,.99,.89,1.10,.81,1.02,1.04,1.16,1.10,.90,.99
2021,.81,.64,.89,.76,.78,.84,.91,.81,.92,1.00,.93,.87,.85,.84,.75,.81,.86,.95
2022,.91,.89,1.05,.84,.84,.92,.93,.95,.90,.97,.72,.80,.89,.90,.89,.91,.94,.86
